country,year,year_latest,status,reports,datasets
Nigeria,2016-2017,2017,Completed,Final,Available
Cote d'Ivoire,2016,2016,Completed,Final,Available
Guinea,2016,2016,Completed,Final,Available
Mongolia (Khuvsgul Aimag),2016,2016,Completed,Final,Available
Mongolia (Nalaikh District),2016,2016,Completed,Final,Available
Paraguay,2016,2016,Completed,"Final,Key findings",Available
Belize,2015-2016,2016,Completed,"Final,Key findings",Available
Thailand,2015-2016,2016,Completed,"Final,Key findings",Available
Thailand (Bangkok Small Community),2015-2016,2016,Completed,Final,Available
Turkmenistan,2015-2016,2016,Completed,"Final,Key findings",Available
Kazakhstan,2015,2015,Completed,"Final,Key findings",Available
Mali,2015,2015,Completed,"Final,Key findings",Available
Mauritania,2015,2015,Completed,"Final,Key findings",Available
Mexico,2015,2015,Completed,"Final,Key findings",Available
Benin,2014,2014,Completed,"Final,Key findings",Available
Cameroon,2014,2014,Completed,"Final,Key findings",Available
Cuba,2014,2014,Completed,"Final,Key findings",Available
Dominican Republic,2014,2014,Completed,"Final,Key findings",Available
El Salvador,2014,2014,Completed,"Final,Key findings",Available
Eswatini,2014,2014,Completed,"Final,Key findings",Available
Guinea-Bissau,2014,2014,Completed,"Final,Key findings",Available
Guyana,2014,2014,Completed,"Final,Key findings",Available
Kyrgyzstan,2014,2014,Completed,"Final,Key findings",Available
Nepal,2014,2014,Completed,"Final,Key findings",Available
Pakistan (Punjab),2014,2014,Completed,"Final,Key findings",Available
Pakistan (Sindh),2014,2014,Completed,"Final,Key findings",Available
Sao Tome and Principe,2014,2014,Completed,"Biomarker,Final,Key findings",Available
Serbia,2014,2014,Completed,"Final,Key findings",Available
Serbia (Roma Settlements),2014,2014,Completed,"Final,Key findings",Available
State of Palestine,2014,2014,Completed,"Final,Key findings",Available
Sudan,2014,2014,Completed,"Final,Key findings",Available
Zimbabwe,2014,2014,Completed,"Final,Key findings",Available
Egypt (Sub-national),2013-2014,2014,Completed,"Final,Key findings",Available
Kenya (Bungoma County),2013-2014,2014,Completed,"Final,Key findings",Available
Kenya (Kakamega County),2013-2014,2014,Completed,"Final,Key findings",Available
Kenya (Turkana County),2013-2014,2014,Completed,"Final,Key findings",Available
Kosovo under UNSC res. 1244,2013-2014,2014,Completed,"Final,Key findings,Summary",Available
"Kosovo under UNSC res. 1244 (Roma, Ashkali, and Egyptian Communities)",2013-2014,2014,Completed,"Final,Key findings,Summary",Available
Malawi,2013-2014,2014,Completed,"Final,Key findings",Available
Mongolia,2013-2014,2014,Completed,"Final,Key findings",Available
Viet Nam,2013-2014,2014,Completed,"Final,Key findings",Available
Montenegro,2013,2013,Completed,"Final,Key findings",Available
Montenegro (Roma Settlements),2013,2013,Completed,"Final,Key findings",Available
Panama,2013,2013,Completed,Key findings,Available
Algeria,2012-2013,2013,Completed,Final,Available
Bangladesh,2012-2013,2013,Completed,"Final,Key findings",Available
Thailand,2012-2013,2013,Completed,"Final,Summary",Available
Uruguay,2012-2013,2013,Completed,"Final,Key findings",Available
Barbados,2012,2012,Completed,Final,Available
Belarus,2012,2012,Completed,Final,Available
Madagascar (South),2012,2012,Completed,Final,Available
"Moldova, Republic of",2012,2012,Completed,"Final,Summary",Available
Mongolia (Khuvsgul Aimag),2012,2012,Completed,Final,Available
Mongolia (Nalaikh District),2012,2012,Completed,Final,Available
Saint Lucia,2012,2012,Completed,Final,Available
Ukraine,2012,2012,Completed,"Final,Key findings",Available
Argentina,2011-2012,2012,Completed,Final,Available
Bosnia and Herzegovina,2011-2012,2012,Completed,Final,Available
Bosnia and Herzegovina (Roma Settlements),2011-2012,2012,Completed,Final,Available
Lao People's Democratic Republic,2011-2012,2012,Completed,Final,Available
Tunisia,2011-2012,2012,Completed,"Final,Summary",Available
Belize,2011,2011,Completed,Final,Available
Costa Rica,2011,2011,Completed,Final,Available
Ghana,2011,2011,Completed,"Final,Summary",Available
Indonesia (Papua Selected Districts),2011,2011,Completed,Final,Available
Indonesia (West Papua Selected Districts),2011,2011,Completed,Final,Available
Iraq,2011,2011,Completed,Final,Available
Jamaica,2011,2011,Completed,Final,Available
Kenya (Nyanza Province),2011,2011,Completed,Final,Available
Lebanon (Palestinians),2011,2011,Completed,"Final,Preliminary",Available
"Macedonia, The Former Yugoslav Republic of",2011,2011,Completed,Final,Available
"Macedonia, The Former Yugoslav Republic of (Roma Settlements)",2011,2011,Completed,Final,Available
Mauritania,2011,2011,Completed,"Final,Summary",Available
Nigeria,2011,2011,Completed,"Final,Summary",Available
Pakistan (Punjab),2011,2011,Completed,Final,Available
Somalia (Northeast Zone),2011,2011,Completed,Final,Available
Somalia (Somaliland),2011,2011,Completed,Final,Available
Trinidad and Tobago,2011,2011,Completed,Final,Available
Afghanistan,2010-2011,2011,Completed,Final,Available
Cuba,2010-2011,2011,Completed,Final,Available
Ghana (Accra),2010-2011,2011,Completed,Final,Available
Kazakhstan,2010-2011,2011,Completed,Final,Available
Viet Nam,2010-2011,2011,Completed,Final,Available
Bhutan,2010,2010,Completed,Final,Available
Central African Republic,2010,2010,Completed,"Biomarker,Final,Summary",Available
Chad,2010,2010,Completed,"Final,Summary",Available
"Congo, Democratic Republic of the",2010,2010,Completed,"Final,Summary",Available
Eswatini,2010,2010,Completed,Final,Available
Mongolia,2010,2010,Completed,Final,Available
Nepal (Mid- and Far-Western Regions),2010,2010,Completed,Final,Available
Pakistan (Balochistan),2010,2010,Completed,Final,Available
Serbia,2010,2010,Completed,Final,Available
Serbia (Roma Settlements),2010,2010,Completed,Final,Available
Sierra Leone,2010,2010,Completed,Final,Available
"South Sudan, Republic of",2010,2010,Completed,Final,Available
State of Palestine,2010,2010,Completed,Final,Available
Sudan,2010,2010,Completed,"Final,Summary",Available
Suriname,2010,2010,Completed,Final,Available
Togo,2010,2010,Completed,Final,Available
Mali,2009-2010,2010,Completed,Final,Available
Kenya (Mombasa Informal Settlements),2009,2009,Completed,Final,Available
Zimbabwe,2009,2009,Completed,Final,Available
Mozambique,2008,2008,Completed,Final,Available
Vanuatu,2007-2008,2008,Completed,Final,Available
Mauritania,2007,2007,Completed,Final,Available
Nigeria,2007,2007,Completed,Final,Available
Guyana,2006-2007,2007,Completed,Final,Available
Bangladesh,2006,2006,Completed,Final,Available
Belize,2006,2006,Completed,Final,Available
Bosnia and Herzegovina,2006,2006,Completed,Final,Available
Burkina Faso,2006,2006,Completed,Final,Available
Cameroon,2006,2006,Completed,Final,Available
Central African Republic,2006,2006,Completed,Final,Available
Cuba,2006,2006,Completed,Final,Available
Cote d'Ivoire,2006,2006,Completed,Final,Available
Djibouti,2006,2006,Completed,Final,Available
Ghana,2006,2006,Completed,Final,Available
Guinea-Bissau,2006,2006,Completed,Final,Available
Iraq,2006,2006,Completed,Final,Available
Kazakhstan,2006,2006,Completed,Final,Available
Lao People's Democratic Republic,2006,2006,Completed,Final,Available
Malawi,2006,2006,Completed,Final,Available
Somalia,2006,2006,Completed,Final,Available
Suriname,2006,2006,Completed,Final,Available
Syrian Arab Republic,2006,2006,Completed,Final,Available
Togo,2006,2006,Completed,Final,Available
Trinidad and Tobago,2006,2006,Completed,Final,Available
Turkmenistan,2006,2006,Completed,Final,Available
Uzbekistan,2006,2006,Completed,Final,Available
Viet Nam,2006,2006,Completed,Final,Available
Yemen,2006,2006,Completed,Final,Available
Gambia,2005-2006,2006,Completed,Final,Available
Kyrgyzstan,2005-2006,2006,Completed,Final,Available
Lebanon (Palestinians),2005-2006,2006,Completed,Final,Available
"Macedonia, The Former Yugoslav Republic of",2005-2006,2006,Completed,Final,Available
Montenegro,2005-2006,2006,Completed,Final,Available
